kegg	gene
dre00120	393433
dre00120	393451
dre00120	393839
dre00120	394148
dre00120	445281
dre00120	450052
dre00120	494109
dre00120	553543
dre00120	553653
dre00120	564475
dre00120	565876
dre00120	570455
dre00120	641477
dre00120	692332
dre00120	795106
dre00120	798384
dre00130	100037331
dre00130	322506
dre00130	394142
dre00130	436893
dre00130	445287
dre00130	447802
dre00130	553717
dre00130	557240
dre00130	559504
dre00130	561410
dre00130	751691
dre00140	100006320
dre00140	100150054
dre00140	100333777
dre00140	140634
dre00140	30390
dre00140	322626
dre00140	327417
dre00140	334098
dre00140	373131
dre00140	393335
dre00140	394148
dre00140	399692
dre00140	402795
dre00140	402842
dre00140	406731
dre00140	449537
dre00140	550388
dre00140	550398
dre00140	553532
dre00140	553952
dre00140	553969
dre00140	560717
dre00140	561372
dre00140	563363
dre00140	565370
dre00140	570455
dre00140	570913
dre00140	60640
dre00140	641488
dre00140	64815
dre00140	767715
dre00140	768185
dre00140	777792
dre00140	791124
dre00140	792506
dre00140	793249
dre00140	80374
dre00190	100000992
dre00190	100002384
dre00190	100003066
dre00190	100003139
dre00190	100004566
dre00190	100005158
dre00190	100038785
dre00190	100073345
dre00190	100332034
dre00190	100333064
dre00190	100333135
dre00190	140512
dre00190	140519
dre00190	140520
dre00190	140531
dre00190	140532
dre00190	140533
dre00190	140534
dre00190	140535
dre00190	140536
dre00190	140538
dre00190	140539
dre00190	140540
dre00190	140541
dre00190	192335
dre00190	192336
dre00190	195824
dre00190	286779
dre00190	321724
dre00190	321951
dre00190	322549
dre00190	322811
dre00190	324307
dre00190	325402
dre00190	325712
dre00190	326962
dre00190	326975
dre00190	326977
dre00190	335025
dre00190	335191
dre00190	335709
dre00190	335751
dre00190	335774
dre00190	336118
dre00190	336957
dre00190	337583
dre00190	359839
dre00190	359840
dre00190	368907
dre00190	393478
dre00190	393497
dre00190	393675
dre00190	393687
dre00190	393700
dre00190	393703
dre00190	393706
dre00190	393720
dre00190	393764
dre00190	393776
dre00190	393781
dre00190	393793
dre00190	393821
dre00190	393829
dre00190	393884
dre00190	393935
dre00190	393943
dre00190	394110
dre00190	394151
dre00190	394181
dre00190	402880
dre00190	402883
dre00190	402961
dre00190	406298
dre00190	406301
dre00190	406306
dre00190	406342
dre00190	406359
dre00190	406413
dre00190	406599
dre00190	406726
dre00190	415243
dre00190	415253
dre00190	436762
dre00190	436768
dre00190	436799
dre00190	436930
dre00190	436968
dre00190	445042
dre00190	445122
dre00190	445129
dre00190	445291
dre00190	445500
dre00190	447913
dre00190	447914
dre00190	447942
dre00190	449655
dre00190	449787
dre00190	450017
dre00190	493605
dre00190	494577
dre00190	541328
dre00190	541331
dre00190	541390
dre00190	550451
dre00190	550531
dre00190	553384
dre00190	553660
dre00190	553672
dre00190	553691
dre00190	553755
dre00190	553767
dre00190	554100
dre00190	554101
dre00190	554103
dre00190	554125
dre00190	554135
dre00190	554154
dre00190	556538
dre00190	557348
dre00190	559659
dre00190	561117
dre00190	561469
dre00190	562149
dre00190	562219
dre00190	563476
dre00190	564379
dre00190	566723
dre00190	569770
dre00190	573021
dre00190	573619
dre00190	573689
dre00190	641476
dre00190	641566
dre00190	751638
dre00190	767750
dre00190	796997
dre00190	797063
dre00190	798291
dre00190	81541
dre00220	100000775
dre00220	100148522
dre00220	103909643
dre00220	317737
dre00220	322614
dre00220	335974
dre00220	336473
dre00220	373092
dre00220	393423
dre00220	393970
dre00220	403086
dre00220	404036
dre00220	406330
dre00220	406688
dre00220	447864
dre00220	555623
dre00220	557716
dre00220	563654
dre00220	564147
dre00220	564746
dre00220	566165
dre00220	570368
dre00220	60658
dre00220	794667
dre00220	799963
dre00230	100000978
dre00230	100003595
dre00230	100005067
dre00230	100005551
dre00230	100148976
dre00230	100149268
dre00230	100150304
dre00230	100151215
dre00230	100330772
dre00230	100330864
dre00230	100330875
dre00230	100331745
dre00230	100332468
dre00230	100333538
dre00230	100333702
dre00230	100536156
dre00230	100536162
dre00230	100750260
dre00230	101884360
dre00230	114551
dre00230	140424
dre00230	140425
