baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSDARG00000104632	80.6050653173105	-0.887440307111237	0.151756791357221	-5.84777985337269	4.98177258302498e-09	3.49434182668404e-06
ENSDARG00000100422	932.091860104645	-0.12746512214822	0.101147483150328	-1.26019074502108	0.207600560708521	0.463085789422782
ENSDARG00000102128	92.7759418895229	0.41485936035271	0.156233182125225	2.65538571710194	0.00792177705411032	0.0647035400289732
ENSDARG00000103095	101.609687046753	-0.205218411318549	0.124262654937151	-1.65148902880229	0.0986387591622422	0.303599150811829
ENSDARG00000102226	47.5646995111841	0.571855828163431	0.511140637668499	1.11878372803985	0.26323241519603	0.525375457516825
ENSDARG00000104049	57.1127648274473	-0.0573255097009856	0.133258147174901	-0.430183901819872	0.667061871294811	0.833799621464077
ENSDARG00000102474	984.634487665957	0.167331087152477	0.0613288086071368	2.72842553039592	0.0063637457131436	0.056354134828521
ENSDARG00000045911	377.06850548531	-0.0949285284531112	0.104052327258761	-0.912315283607641	0.361602771060932	0.619382992399588
ENSDARG00000045910	197.449056578401	0.0227183557297102	0.0885968543932867	0.256423954160518	0.797623493287553	0.906231729499798
ENSDARG00000045909	27.8432352422201	-0.0740734486862068	0.234862297036257	-0.315390974289805	0.752464818889426	0.883516906235637
ENSDARG00000025073	3020.27740697188	0.0930404588196735	0.0892066935244376	1.04297620664738	0.29695931266047	0.559326408314081
ENSDARG00000093924	5.85300973802223	-0.146719554519348	0.468479925424606	-0.313182159057016	0.754142272136993	0.884767497825538
ENSDARG00000099652	1002.882892344	0.0217886588652969	0.0603910948114135	0.360792579325437	0.718254510545463	0.864427076942234
ENSDARG00000101047	83.4275937215067	-0.241584712902137	0.135604443703945	-1.78153979547729	0.0748243097422953	0.257635087677411
ENSDARG00000099833	42.5439539591969	0.286782241196479	0.161553034932817	1.77515848783491	0.0758717219077333	0.259852788057365
ENSDARG00000103870	196.70157535047	0.131912567047818	0.143810479603796	0.917266720834548	0.359002891619896	0.617304295923417
ENSDARG00000096118	51.7526728692035	-0.409331845191721	0.188265886288706	-2.17422207103421	0.0296884616019498	0.147682632668758
ENSDARG00000045900	167.849224956404	-0.084259370939961	0.0930001574159489	-0.906013207731529	0.364928861695887	0.621868195250633
ENSDARG00000016968	775.056610636503	-0.163216228634805	0.0789436872281602	-2.06750196710578	0.0386868790357974	0.172687037511861
ENSDARG00000102878	97.2162476753772	0.548729400401289	0.144507540819271	3.79723713579461	0.000146317803420237	0.00494934601849295
ENSDARG00000059311	19.0993529428691	0.574357481951302	0.236959473374069	2.42386376781235	0.0153563649623152	0.0989794971827887
ENSDARG00000017386	155.252164338097	0.0819940579015817	0.103219298744473	0.794367515560864	0.426981509579291	0.673518898745461
ENSDARG00000045898	4543.92734808244	0.239462004022207	0.121072950655708	1.97783239547171	0.0479476175803286	0.196604653882037
ENSDARG00000006060	805.573318562035	0.0549954818377498	0.13978687807779	0.393423779069915	0.694006509582039	0.851474462448534
ENSDARG00000104018	508.021953291498	-0.0654640132317326	0.065541176349548	-0.998822677252482	0.31788059853218	0.580783684020175
ENSDARG00000102340	10.1885667692471	-0.475696956883344	0.375358680943054	-1.26731305557713	0.205043374119081	0.460673894633741
ENSDARG00000099129	21.0528209306778	-0.569531822945224	0.33132750042869	-1.71893918315966	0.0856254464475632	0.278979613902453
ENSDARG00000101813	3578.42519961593	0.0194767532429109	0.0642701130541699	0.303045261901049	0.761855368372608	0.889250467062688
ENSDARG00000063672	245.72891485425	0.119086193534004	0.0897556584736438	1.32678201641151	0.184580801017785	0.433886739070716
ENSDARG00000018149	842.894533481412	0.122518870673785	0.0750835704670072	1.631766708905	0.102728640965915	0.310092719017762
ENSDARG00000045886	956.857649459974	0.233493750805127	0.0794372836208246	2.93934711966808	0.00328904486684038	0.0369128174073466
ENSDARG00000045885	1908.37146770576	0.0491131066573526	0.0736440270976816	0.666898709819452	0.504836835116791	0.728524350881424
ENSDARG00000007413	2108.21084170387	0.133321696385109	0.077508175389837	1.72009850205544	0.0854145379908827	0.278561838493251
ENSDARG00000097341	5.96728065688232	-0.0499494078081275	0.426805806945069	-0.117030759646052	0.906835678287643	0.961285604943836
ENSDARG00000045880	87.0808358152907	-0.0620201912633973	0.126685059404484	-0.489562001667277	0.624443870543368	0.808359677190967
ENSDARG00000009657	191.261738892454	0.0186035134844782	0.0973942271458345	0.191012486362482	0.848515810569719	0.933194832794825
ENSDARG00000093658	245.351149736554	0.0835176906512493	0.0835812436663704	0.999239625873782	0.31767862431928	0.58072404138197
ENSDARG00000026839	134.81086398617	-0.0329047965989885	0.10432228050766	-0.315414851351648	0.752446692164017	0.883516906235637
ENSDARG00000016979	168.410406127011	0.0460683259361973	0.0932790796075217	0.493876291769098	0.621393549052197	0.806633593915097
ENSDARG00000070477	924.713919773844	0.153920523597375	0.0625654520494946	2.46015202568361	0.0138878173752315	0.0925836244648365
ENSDARG00000045878	1049.23573905416	0.118692644430217	0.150062394268671	0.790955289022716	0.428970082864795	0.674836853454775
ENSDARG00000045877	981.405806008985	0.126842692654258	0.0843550988022094	1.50367546781815	0.132664948838662	0.360193961036942
ENSDARG00000079391	134.306653435353	0.0431508095605585	0.15421570531657	0.279808139333019	0.779624706759524	0.898092403311798
ENSDARG00000015921	506.41272114124	0.194724274039271	0.141253829433876	1.37854155756128	0.168036146293273	0.412805281207441
ENSDARG00000061544	25.6052347710365	-0.0179373049368288	0.243459314961919	-0.0736768069015329	0.941267554031887	0.976214748985765
