baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSDARG00000104632	84.5178689914134	-0.587895653617625	0.132665416214646	-4.43141604189022	9.36162636718129e-06	0.00050992083804164
ENSDARG00000100422	958.236583613496	-0.140971829515802	0.0820169003129945	-1.71881440261486	0.0856481721485666	0.23357085398193
ENSDARG00000102128	100.013229771688	0.268517933039585	0.153297233465722	1.75161630101842	0.0798398076790034	0.222760968355873
ENSDARG00000103095	103.504430309095	-0.407981218835178	0.128607736093859	-3.1722914283899	0.00151241153091787	0.0159297676070946
ENSDARG00000102226	52.607555034345	-0.0708409037484184	0.30709701180965	-0.230679234978451	0.817564006571742	0.907402666608574
ENSDARG00000104049	55.9773220215864	0.0093304716740773	0.143016208585005	0.0652406588483397	0.947982388987094	0.974020796851834
ENSDARG00000102474	1005.78203450787	0.111194863035333	0.0561381731878365	1.98073533072191	0.0476209624308217	0.15874906009076
ENSDARG00000045911	394.738370744028	-0.0721098520894462	0.099912695477098	-0.721728622625092	0.470461340834417	0.666043736986378
ENSDARG00000045910	202.047940951322	0.142749744948394	0.0932430085475631	1.53094314707336	0.125783444294195	0.298682020280301
ENSDARG00000045909	27.9987395838805	-0.300746411890312	0.225245225404718	-1.33519550236829	0.181812368523117	0.372796935118707
ENSDARG00000025073	3036.46057040152	0.18588153241128	0.0921892346011926	2.01630410769106	0.0437681856561085	0.150535492895338
ENSDARG00000093924	6.58025269471146	-0.074463443343502	0.469417878191888	-0.158629329650421	0.873960919653349	0.937444092463289
ENSDARG00000099652	1033.9064359182	0.0687156842838831	0.0502035759280316	1.36874083197558	0.171080301885836	0.360678456315264
ENSDARG00000101047	81.3462139076141	-0.189416823882853	0.139004213815115	-1.36266965356022	0.172986645930073	0.362522608697374
ENSDARG00000099833	45.50580467157	-0.185148640880092	0.156312290515227	-1.18447909802752	0.236223465542109	0.439342905663402
ENSDARG00000103870	200.898019595559	0.0532680958502797	0.14346396291574	0.371299487116255	0.710414479922351	0.841376753256097
ENSDARG00000096118	51.2766348150836	-0.127443677354554	0.188460405720682	-0.676235821881013	0.498890932419086	0.689301567940234
ENSDARG00000045900	172.221193056414	-0.00524195861745172	0.0958977711349328	-0.0546619442288813	0.956407788115994	0.978219267003466
ENSDARG00000016968	805.115451934651	-0.101026733348005	0.0813058106771588	-1.24255243883063	0.21403280542404	0.412359466056252
ENSDARG00000102878	97.684091780982	0.178163665108215	0.140584596691384	1.2673057312198	0.205045992032283	0.400981298646239
ENSDARG00000059311	20.3299073621659	-0.0267517674699233	0.231233401505794	-0.115691622817964	0.907896945692127	0.956073838923922
ENSDARG00000017386	157.026026238127	-0.128222833315777	0.0930451955084449	-1.37807043786737	0.16818154172311	0.357103291153378
ENSDARG00000045898	4651.88674023127	0.268978299952787	0.1176820659756	2.28563543410733	0.0222755953886781	0.0969211957878976
ENSDARG00000006060	861.542754365967	0.00694879050792874	0.140180284413803	0.0495703838595187	0.960464747862933	0.979839416793264
ENSDARG00000104018	522.443279881823	-0.0763925211884954	0.0662949427935777	-1.1523129513266	0.24919249682979	0.45413129446513
ENSDARG00000102340	9.44225637247623	-0.547077845641339	0.371749212753135	-1.47163148400433	0.141120418811087	0.320062245641564
ENSDARG00000099129	20.2611835168214	-0.046282429149753	0.251837293967578	-0.183779091732583	0.854186759133675	0.927078445709434
ENSDARG00000101813	3668.72825688384	0.167836842920416	0.0627790903612177	2.67345133474725	0.00750751681358438	0.0470485894307208
ENSDARG00000063672	253.988387681366	0.116760897633384	0.0934873215159993	1.24894900976922	0.211683724370507	0.409379357349868
ENSDARG00000018149	863.006105365643	0.188129425268523	0.0849897110658508	2.21355529874385	0.0268593852277548	0.109801374620619
ENSDARG00000045886	989.44699859114	0.145864661397368	0.0906170872970318	1.60968163674519	0.107467375843279	0.271415552224992
ENSDARG00000045885	2049.13853938222	0.113554655363805	0.0685271253454723	1.65707600882616	0.0975041088880221	0.254688625533551
ENSDARG00000007413	2244.86183458116	0.170517879543902	0.0707547199842869	2.40998592859629	0.0159531358002777	0.077366483737922
ENSDARG00000097341	5.57350305163653	0.0751346763026277	0.412973316891269	0.181935910213806	0.85563302250134	0.928177028093819
ENSDARG00000045880	91.7629088030971	0.0326799840272677	0.132070474986487	0.247443526122029	0.804564992267398	0.899172773432294
ENSDARG00000009657	194.932461875174	0.0482957740797081	0.094908217040955	0.508868205361686	0.610844607451666	0.774758463602647
ENSDARG00000093658	259.084299803805	0.0803961073563007	0.0880753889407506	0.91281013144755	0.361342408891981	0.570935188257696
ENSDARG00000026839	135.027047896745	0.0488761897680396	0.111013833928525	0.440271162957113	0.659740723908069	0.808317795269291
ENSDARG00000016979	173.029631039309	-0.143690972901168	0.0989976527374109	-1.45145838237504	0.146652262899347	0.328075742405685
ENSDARG00000070477	947.245534056413	0.134356051781016	0.0666178498274062	2.01681759662171	0.0437145519176836	0.150442834077793
ENSDARG00000045878	1066.40514382302	0.237445811884682	0.144947021759172	1.63815585172351	0.101389186502511	0.261336417100417
ENSDARG00000045877	988.776457183967	0.222885020663757	0.0885408856071204	2.51731185130402	0.0118254109890075	0.0636156694247978
ENSDARG00000079391	134.497621444161	0.0986112739663769	0.141949157575603	0.694694323309782	0.487246886321622	0.68057582436398
ENSDARG00000015921	511.203896310524	0.195035223620164	0.155562213307657	1.25374420608455	0.209934994612013	0.407295569581173
ENSDARG00000061544	26.2428801862517	-0.0855693155407095	0.246780054344421	-0.34674323971614	0.728784222565089	0.85281221088868
