baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSDARG00000104632	80.6050653173105	-0.0371799186007029	0.138515153982124	-0.268417696777792	0.788377819099566	0.999838706836137
ENSDARG00000100422	932.091860104645	-0.00256037222181789	0.100528061697923	-0.0254692289752046	0.979680692242472	0.999838706836137
ENSDARG00000102128	92.7759418895229	0.172285369305796	0.15570960442149	1.1064530665651	0.268530467530246	0.999838706836137
ENSDARG00000103095	101.609687046753	0.039977768393344	0.118895808673683	0.336242032745371	0.736688358655735	0.999838706836137
ENSDARG00000102226	47.5646995111841	0.807896726372218	0.508482352702082	1.58883926271786	0.112096686515276	0.999838706836137
ENSDARG00000104049	57.1127648274473	-0.124767761590134	0.129401414774271	-0.964191634286065	0.334949857795634	0.999838706836137
ENSDARG00000102474	984.634487665957	0.0198983754229864	0.0610120301973583	0.326138555931023	0.744319527000271	0.999838706836137
ENSDARG00000045911	377.06850548531	0.00526544599127784	0.102807263189603	0.0512166731018507	0.959152866066795	0.999838706836137
ENSDARG00000045910	197.449056578401	-0.0904759855114235	0.0871347054021811	-1.03834614570417	0.299108932290801	0.999838706836137
ENSDARG00000045909	27.8432352422201	0.16687379476154	0.225133649687156	0.741221025792573	0.458559436851429	0.999838706836137
ENSDARG00000025073	3020.27740697188	-0.0587135413335454	0.0891386366115479	-0.658676681239918	0.510103410230572	0.999838706836137
ENSDARG00000093924	5.85300973802223	0.171750400382317	0.436175109206721	0.39376479023455	0.693754701899804	0.999838706836137
ENSDARG00000099652	1002.882892344	-0.0107529316502685	0.0598404259804017	-0.179693434231069	0.857393248266857	0.999838706836137
ENSDARG00000101047	83.4275937215067	-0.132186544061825	0.130950778245235	-1.00943687264138	0.312765162320902	0.999838706836137
ENSDARG00000099833	42.5439539591969	0.295824571623858	0.156652041488187	1.88841823453776	0.058969825287344	0.999838706836137
ENSDARG00000103870	196.70157535047	0.0643965797809264	0.142810092135166	0.45092457275342	0.652043912524773	0.999838706836137
ENSDARG00000096118	51.7526728692035	-0.104017690415836	0.180362156968196	-0.576715715559877	0.564131514295692	0.999838706836137
ENSDARG00000045900	167.849224956404	-0.122377558897417	0.0908378382571965	-1.34720906227336	0.177912910114374	0.999838706836137
ENSDARG00000016968	775.056610636503	0.0362863826911001	0.0779662361355709	0.465411497202505	0.641636802334139	0.999838706836137
ENSDARG00000102878	97.2162476753772	0.126365549259518	0.14535258441457	0.869372565809372	0.384643383583721	0.999838706836137
ENSDARG00000059311	19.0993529428691	0.410008821871942	0.233552750701667	1.75552983486662	0.0791687220374624	0.999838706836137
ENSDARG00000017386	155.252164338097	-0.0185742627287136	0.101599056170362	-0.18281924487141	0.854939847873955	0.999838706836137
ENSDARG00000045898	4543.92734808244	0.0199004591138188	0.121053047485145	0.164394532209202	0.869420567682228	0.999838706836137
ENSDARG00000006060	805.573318562035	0.0956705001254952	0.13942363352044	0.686185675339393	0.492596029674093	0.999838706836137
ENSDARG00000104018	508.021953291498	0.0122144548820364	0.0641668408695664	0.190354624234425	0.849031252112722	0.999838706836137
ENSDARG00000102340	10.1885667692471	-0.210929026400474	0.353887941233923	-0.596033381824244	0.551152926370962	0.999838706836137
ENSDARG00000099129	21.0528209306778	-0.213479223913165	0.31976609276866	-0.667610571417308	0.504382207906352	0.999838706836137
ENSDARG00000101813	3578.42519961593	-0.100502972726701	0.0641630969688153	-1.56636723404339	0.117262669155496	0.999838706836137
ENSDARG00000063672	245.72891485425	-0.0025225237168064	0.0887337403088582	-0.0284280106758284	0.977320783936733	0.999838706836137
ENSDARG00000018149	842.894533481412	-0.0871148544165706	0.0748781487107428	-1.16342158448787	0.244658496330782	0.999838706836137
ENSDARG00000045886	956.857649459974	0.0700098498582622	0.0791848696139457	0.884131655448637	0.376625146715038	0.999838706836137
ENSDARG00000045885	1908.37146770576	0.0924584765110988	0.0733416580347736	1.2606542991878	0.207433426116472	0.999838706836137
ENSDARG00000007413	2108.21084170387	0.065891779752102	0.0773248254037856	0.85214262570939	0.394134936127358	0.999838706836137
ENSDARG00000097341	5.96728065688232	-0.365448582485302	0.426974128581087	-0.855903339389097	0.392051247694497	0.999838706836137
ENSDARG00000045880	87.0808358152907	-0.054198968371418	0.123030119961467	-0.440534142276648	0.659550289695714	0.999838706836137
ENSDARG00000009657	191.261738892454	0.00166818953141466	0.0955481212137095	0.0174591557659566	0.986070316852544	0.999838706836137
ENSDARG00000093658	245.351149736554	0.0809431472270939	0.0817199473845758	0.99049436297571	0.321932543070079	0.999838706836137
ENSDARG00000026839	134.81086398617	-0.041544870643167	0.101732031726373	-0.408375512984049	0.6829980080528	0.999838706836137
ENSDARG00000016979	168.410406127011	0.127257515533006	0.0904142011200394	1.40749477357048	0.159280725945391	0.999838706836137
ENSDARG00000070477	924.713919773844	0.0146726337892791	0.0622165660110348	0.235831623794164	0.813563327924329	0.999838706836137
ENSDARG00000045878	1049.23573905416	-0.076619536923561	0.149982798822776	-0.510855494929768	0.609452246744986	0.999838706836137
ENSDARG00000045877	981.405806008985	-0.0736429778797336	0.0841944760929107	-0.874677072620141	0.381749638544069	0.999838706836137
ENSDARG00000079391	134.306653435353	-0.0200367506628403	0.152746791554751	-0.131176245725975	0.895635886731575	0.999838706836137
ENSDARG00000015921	506.41272114124	-0.040531973527198	0.141138474144064	-0.287178770870272	0.773975440399529	0.999838706836137
ENSDARG00000061544	25.6052347710365	-0.0103152555982957	0.235873544959987	-0.0437321430007998	0.965117917308854	0.999838706836137
