delta.rank	pval	level	nseqs	term	name	p.adj
0	3.03661492843094e-8	3	270	GO:0007275	multicellular organismal development	4.6126180762866e-5
0	1.93780328268751e-4	2	612	GO:0009653	anatomical structure morphogenesis	0.0735880796600582
0	4.30972182961017e-4	4	394	GO:0030154	cell differentiation	0.0818308432397231
0	0.00039900884896498703	5	86	GO:0030182	neuron differentiation	0.0818308432397231
0	5.13244041380882e-6	2	656	GO:0044707;GO:0032501	single-multicellular organism process	0.0038980884942878
0	2.61236818862324e-5	2	301	GO:0048598	embryonic morphogenesis	0.0132272909283957
0	3.27980805785445e-4	4	53	GO:0048666	neuron development	0.0818308432397231
0	3.7008821944434e-4	3	6	GO:0048936	peripheral nervous system neuron axonogenesis	0.0818308432397231
