delta.rank	pval	level	nseqs	term	name	p.adj
0	4.70571005650647e-4	3	21	GO:0005643;GO:0046930	pore complex	0.0303047727639017
0	9.81750933623499e-6	2	30	GO:0031248;GO:1902493;GO:0000123	protein acetyltransferase complex	0.00105374600208922
0	3.99556467870721e-9	2	514	GO:0044428	nuclear part	1.28657182654372e-6
0	5.73665112601992e-6	2	167	GO:0044451	nucleoplasm part	9.23600831289207e-4
0	4.60383698276732e-5	2	16	GO:0070603	SWI/SNF superfamily-type complex	0.00370608877112769
