delta.rank	pval	level	nseqs	term	name	p.adj
0	4.174258263677e-4	2	290	GO:0004888	transmembrane signaling receptor activity	0.0627182304117469
0	2.45510210637433e-6	3	232	GO:0005102	receptor binding	0.00147551636593097
0	1.08180640547998e-4	2	278	GO:0005509	calcium ion binding	0.0216721883231156
0	6.00555322101646e-5	2	495	GO:0038023;GO:0004871;GO:0004872;GO:0060089	signal transducer activity	0.0180466874291545
