delta.rank	pval	level	nseqs	term	name	p.adj
0	1.56803117238431e-4	2	19	GO:0007623;GO:0048511	rhythmic process	0.0793946450283922
0	2.3657809926054e-5	3	62	GO:0009314	response to radiation	0.017968106638838
0	1.76725463308551e-6	2	37	GO:0009416	response to light stimulus	0.00268445978765689
