delta.rank	pval	level	nseqs	term	name	p.adj
0	6.70589677034485e-5	3	36	GO:0006605	protein targeting	0.0339541906471794
0	5.18936498666492e-5	2	110	GO:0016482	cytoplasmic transport	0.0339541906471794
0	5.95398019535055e-5	2	218	GO:1902582	single-organism intracellular transport	0.0339541906471794
0	9.95255448257575e-5	4	39	GO:1902600;GO:0015992;GO:0006818	proton transport	0.0377948256475814
