delta.rank	pval	level	nseqs	term	name	p.adj
0	5.02709170116404e-7	2	263	GO:0005887	integral component of plasma membrane	5.39574509258274e-5
0	0.00125961093908873	1	132	GO:0030054	cell junction	0.0506993402983214
0	1.01316927902418e-5	2	74	GO:0034702;GO:1902495;GO:1990351	transporter complex	8.15601269614465e-4
0	1.23031791125544e-4	4	32	GO:0034703	cation channel complex	0.00660270612373753
0	1.40637985105608e-5	1	75	GO:0044456	synapse part	9.05708624080116e-4
0	6.74758277806732e-12	2	480	GO:0044459	plasma membrane part	2.17272165453768e-9
0	1.1880373609639e-7	1	72	GO:0045202	synapse	1.91274015115188e-5
0	7.56809624362159e-4	3	43	GO:0045211;GO:0097060	synaptic membrane	0.0348132427206593
