delta.rank	pval	level	nseqs	term	name	p.adj
0	6.00296927338263e-6	2	342	GO:0003700;GO:0001071	sequence-specific DNA binding transcription factor activity	0.00360778453330296
0	7.41228842732018e-4	2	36	GO:0004004;GO:0003724;GO:0008186	RNA helicase activity	0.0890957068963886
0	4.4178349080184e-5	3	379	GO:0004672	protein kinase activity	0.0132755938985953
0	2.36088352536807e-4	5	717	GO:0008270;GO:0046914	transition metal ion binding	0.0444195045612349
0	2.95637301572279e-4	2	164	GO:0044212;GO:0000975;GO:0001067	regulatory region DNA binding	0.0444195045612349
