delta.rank	pval	level	nseqs	term	name	p.adj
0	2.00568269022506e-4	1	222	GO:0005576	extracellular region	0.0129165965250494
0	6.20414955355819e-6	2	77	GO:0005578;GO:0031012	extracellular matrix	9.98868078122869e-4
0	3.2540802870168e-7	2	224	GO:0005615;GO:0044421	extracellular region part	1.04781385241941e-4
0	0.0021589167396595	3	28	GO:0005912;GO:0070161	anchoring junction	0.0935858725939585
0	9.39162269761742e-5	3	5	GO:0016529	sarcoplasmic reticulum	0.00756025627158202
0	0.00232511484705487	2	49	GO:0019898	extrinsic component of membrane	0.0935858725939585
0	4.57397690752027e-4	2	24	GO:0031234;GO:0019897	extrinsic component of cytoplasmic side of plasma membrane	0.0245470094036921
0	1.67457956716056e-5	2	480	GO:0044459	plasma membrane part	0.00179738206875233
