delta.rank	pval	level	nseqs	term	name	p.adj
0	1.07767100407843e-4	1	222	GO:0005576	extracellular region	0.0115670021104418
0	1.67430920538513e-5	2	77	GO:0005578;GO:0031012	extracellular matrix	0.00539127564134012
0	3.05887203841517e-4	2	224	GO:0005615;GO:0044421	extracellular region part	0.0246239199092421
0	7.24250242599661e-5	2	441	GO:0005886	plasma membrane	0.0115670021104418
